A1,8.69E+12,1,71001,80901,0,0,0,0,0,0,0,0
Y23010103  ,ポリエチレン管                        ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301010301,配水用ﾎﾟﾘｴﾁﾚﾝ管                       ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8766      ,ＰＥ形 ＥＦ受口付直管                   ,本        ,配水用                                  ,                                        ,；水道編                                ,,,500,0,,,
Y230102    ,管布設工                              ,式        ,                                        ,                                        ,                                        ,,,1,1,,,
Y23010201  ,管路土工                              ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301020101,舗装版切断                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
SCB430510  ,舗装版切断                              ,m         ,                                        ,                                        ,；04/03/03                              ,,,5260,5260,,,
Y2301020102,舗装版破砕                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
SCB430310  ,舗装版破砕                              ,m2        ,試掘（人力）                            ,                                        ,；04/03/02                              ,,,51,51,,,
Y2301020104,殻運搬                                ,          ,                                        ,                                        ,                                        ,,,0,0,,,
V1001      ,／殻運搬処理                            ,ｍ3       ,現場～前田道路　L=3.0km As殻（車道）    ,試掘                                    ,処分費含む　；東白川                    ,,,20,6,,,
Y2301020110,管路掘削                              ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8500      ,床掘                                    ,        ,試掘                                    ,                                        ,；水道編                                ,,,1000,80,,,
SCB210110  ,土砂等運搬                              ,m3        ,現場～仮置場L=4.2km                     ,                                        ,；02/01/02                              ,,,2000,3010,,,
Y2301020111,管路埋戻                              ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8500      ,積込み                                  ,        ,仮置場                                  ,                                        ,；水道編                                ,,,4000,2800,,,
SCB210110  ,土砂等運搬                              ,m3        ,仮置場～現場 L=4.2km                    ,                                        ,；02/01/02                              ,,,4000,2790,,,
S8510      ,埋戻し(配管用)                          ,        ,試掘                                    ,                                        ,；水道編                                ,,,70,70,,,
Y2301020112,再掘削                                ,          ,                                        ,                                        ,                                        ,,,0,0,,,
G0001      ,／再掘削工                              ,式        ,殻運搬処理　処分費含む                  ,As殻（車道）　大林道路　L=4.9km         ,                                        ,,,1,1,,,
Y2301020113,発生土処理                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8500      ,積込み                                  ,        ,仮置場                                  ,                                        ,；水道編                                ,,,230,230,,,
V0002      ,／土砂運搬処理                          ,ｍ3       ,現場～ポートアイランド沖　L=18.6km      ,土砂                                    ,処分費含む                              ,,,230,230,,,
Y2301020116,舗装仮復旧                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8630      ,先行路盤工                              ,㎡        ,                                        ,                                        ,；水道編                                ,,,3,3,,,
S8625      ,舗装復旧工                              ,㎡        ,                                        ,                                        ,；水道編                                ,,,19,19,,,
Y23010202  ,管路土留工                            ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301020201,軽量鋼矢板土留                        ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8515      ,軽量鋼矢板建込・撤去工                  ,ｍ        ,                                        ,                                        ,；水道編                                ,,,1115,1115,,,
Y23010209  ,水替工                                ,          ,                                        ,                                        ,                                        ,,,0,0,,,
Y2301020901,開削水替                              ,          ,                                        ,                                        ,                                        ,,,0,0,,,
S8550      ,水替工　　　　　　　　　　　　　　　　　,箇所      ,                                        ,                                        ,；水道編                                ,,,1,1,,,
Y230104    ,管工                                  ,式        ,                                        ,                                        ,                                        ,,,1,1,,,
Y23010401  ,管据付・撤去工                        ,          ,                                        ,                                        ,                                        ,,,0,0,,,
